run,step,fid,kid_e3
Baseline,10000,557.0200,878.728000
Baseline,20000,328.5000,374.643000
Baseline,30000,66.3600,62.759000
Baseline,40000,26.7200,21.130000
Baseline,50000,15.2400,10.757000
Baseline,60000,11.2800,7.496000
Baseline,70000,9.7000,6.393000
Baseline,80000,8.7800,5.648000
Baseline,90000,8.2100,5.259000
Baseline,100000,7.8500,5.174000
Baseline,110000,7.5400,5.036000
Baseline,120000,7.4100,4.818000
Baseline,130000,7.2100,4.897000
Baseline,140000,7.0000,4.656000
Baseline,150000,6.8900,4.715000
Baseline,160000,6.8700,4.640000
Baseline,170000,6.7800,4.480000
Baseline,180000,6.6800,4.662000
Baseline,190000,6.6900,4.742000
Baseline,200000,6.5600,4.491000
REPA (DINOv2-B),10000,542.7200,839.128000
REPA (DINOv2-B),20000,334.1500,386.226000
REPA (DINOv2-B),30000,63.6800,59.682000
REPA (DINOv2-B),40000,23.7000,18.583000
REPA (DINOv2-B),50000,13.9600,9.967000
REPA (DINOv2-B),60000,10.5100,7.252000
REPA (DINOv2-B),70000,9.1000,6.190000
REPA (DINOv2-B),80000,8.3300,5.703000
REPA (DINOv2-B),90000,7.7800,5.364000
REPA (DINOv2-B),100000,7.2900,5.066000
REPA (DINOv2-B),110000,6.9300,4.829000
REPA (DINOv2-B),120000,6.7800,4.732000
REPA (DINOv2-B),130000,6.6600,4.738000
REPA (DINOv2-B),140000,6.5000,4.483000
REPA (DINOv2-B),150000,6.3900,4.614000
REPA (DINOv2-B),160000,6.3300,4.602000
REPA (DINOv2-B),170000,6.2800,4.459000
REPA (DINOv2-B),180000,6.2700,4.376000
REPA (DINOv2-B),190000,6.1400,4.446000
REPA (DINOv2-B),200000,6.0646,4.367624
